"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"INFRA-001","[DevOps] Provision Core AWS Infrastructure via Terraform","Establish foundational infrastructure including VPC, subnets, security groups, and IAM roles using Terraform. This is a critical blocker for all other resources.","Task","Sprint Backlog","Critical","devops.eng@company.com","product.owner@company.com","2024-11-08","60","","devops,infrastructure,terraform,aws","Sprint 1","Establish core infrastructure and implement the complete user authentication lifecycle.","Core Infrastructure & DevOps","EPIC-003","CreativeFlow AI Platform","EPIC-003","","Terraform,AWS,Networking","High","High","VPC and networking are provisioned. EKS cluster and RDS instance are up and running.","Terraform apply successful; resources are visible in AWS console; dev team has access.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","100%","Backend team for database requirements","AWS API availability","Manual verification of resources","State file must be stored securely in S3.","Unblocks all application development."
"INFRA-005","[DevOps] Configure AWS SES Domain & DNS","Configure and verify the sending domain in AWS SES. Set up SPF, DKIM, and DMARC records in DNS to ensure email deliverability and mitigate RISK-003.","Task","Sprint Backlog","Critical","devops.eng@company.com","product.owner@company.com","2024-11-08","10","","devops,aws,ses,email","Sprint 1","Establish core infrastructure and implement the complete user authentication lifecycle.","Core Infrastructure & DevOps","EPIC-003","CreativeFlow AI Platform","US-002","INFRA-001","AWS SES,DNS","Medium","High","Domain is verified in SES. SPF, DKIM, DMARC records are correctly configured.","Test email sent from SES is successfully delivered without being marked as spam.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","100%","Backend team","DNS provider propagation time","End-to-end email delivery test","Requires access to domain's DNS records.","Enables all transactional email features."
"T-IAM-001","[Backend] Define User & Auth DB Schema","Define and create the initial database schema for the `User` table in PostgreSQL, including columns for email, passwordHash, and status. Implement the TypeORM entity and a migration script.","Task","Sprint Backlog","Critical","backend1.dev@company.com","product.owner@company.com","2024-11-08","6","1","backend,database,postgresql,typeorm","Sprint 1","Establish core infrastructure and implement the complete user authentication lifecycle.","Identity & Access Management","EPIC-001","CreativeFlow AI Platform","US-001","INFRA-001","PostgreSQL,SQL,TypeORM","Low","Low","Migration script successfully creates the `User` table. Email column has a UNIQUE, case-insensitive index. Status column defaults to 'inactive'. `User` entity is defined in the NestJS service.","Code reviewed; Migration successfully applies; schema verified in database.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","80%","DevOps for DB access","RDS instance availability","Integration test","Migration must be run as part of deployment.","Data foundation for user accounts."
"T-IAM-002","[Backend] Implement Registration Service Logic","In the NestJS Identity service, implement the `registerUser` method. This includes logic for checking email uniqueness (case-insensitive), hashing the password with bcrypt, and creating the new user record with 'inactive' status.","Task","Sprint Backlog","Critical","backend1.dev@company.com","product.owner@company.com","2024-11-08","8.3","2","backend,nestjs,security,bcrypt","Sprint 1","Establish core infrastructure and implement the complete user authentication lifecycle.","Identity & Access Management","EPIC-001","CreativeFlow AI Platform","US-001","T-IAM-001","NestJS,TypeScript,bcrypt,TypeORM","Medium","Medium","Method throws a ConflictException for duplicate emails. Method correctly hashes the password using bcrypt with a salt. Method successfully creates a new user record in the database.","Code reviewed; Unit tests passing with >80% coverage; Security review passed for hashing logic.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","80%","","","Unit, Integration testing","","Core logic for user acquisition."
"T-IAM-003","[Backend] Implement Registration GraphQL Mutation","Create the GraphQL mutation endpoint in the `auth.resolver.ts`. Define the DTO for registration input, including `class-validator` decorators for email format and password complexity rules.","Task","Sprint Backlog","High","backend1.dev@company.com","product.owner@company.com","2024-11-08","6","1","backend,nestjs,graphql,api","Sprint 1","Establish core infrastructure and implement the complete user authentication lifecycle.","Identity & Access Management","EPIC-001","CreativeFlow AI Platform","US-001","T-IAM-002","NestJS,GraphQL,class-validator","Low","Low","GraphQL mutation is accessible and accepts valid input. DTO validation rejects non-compliant passwords and invalid email formats. Successful requests are passed to the auth.service.","Code reviewed; Integration tests passing for both valid and invalid inputs.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","80%","Frontend team for API contract","","Integration testing","","Exposes user registration functionality to clients."
"T-IAM-004","[Frontend] Build Registration Form Component","Create a responsive registration form using Next.js and MUI. Implement the form structure with email and password fields, a password visibility toggle, and a disabled-by-default submit button.","Task","Sprint Backlog","High","frontend1.dev@company.com","product.owner@company.com","2024-11-08","8","2","frontend,nextjs,react,mui","Sprint 1","Establish core infrastructure and implement the complete user authentication lifecycle.","Identity & Access Management","EPIC-001","CreativeFlow AI Platform","US-001","","Next.js,React,MUI,CSS","Medium","Low","Form renders with all required UI elements. Form is responsive across mobile, tablet, and desktop breakpoints. Password input is masked by default and can be toggled. Accessibility audit (Axe) passes with no critical violations.","Code reviewed; Component renders correctly in Storybook; responsive tests pass; accessibility audit passed.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","80%","UX/UI Designer","","Unit, E2E, Accessibility testing","","Provides the user interface for account creation."
"T-IAM-005","[Frontend] Implement Client-Side Validation & API Integration for Registration","Integrate React Hook Form and Zod for real-time client-side validation of the registration form. Implement the Apollo Client mutation call to the backend registration endpoint, including handling of loading and error states.","Task","Sprint Backlog","Critical","frontend1.dev@company.com","product.owner@company.com","2024-11-08","10.2","3","frontend,react,validation,api-integration","Sprint 1","Establish core infrastructure and implement the complete user authentication lifecycle.","Identity & Access Management","EPIC-001","CreativeFlow AI Platform","US-001","T-IAM-003,T-IAM-004","React,React Hook Form,Zod,Apollo Client","Medium","Low","Email format and password complexity are validated in real-time. Submit button is enabled only when the form is valid. Successful submission redirects to the 'check your email' page. API errors (e.g., duplicate email) are displayed to the user.","Code reviewed; Unit tests passing; E2E test using Cypress passes for both successful and failed registration attempts.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","80%","Backend team","","Unit, E2E testing","","Connects the registration UI to the backend, completing the feature."
"T-IAM-006","[Backend] Define UserToken DB Schema","Create the schema and migration for the `UserToken` table. It must store the token, user ID (foreign key), token type (e.g., 'EMAIL_VERIFICATION'), and an expiry timestamp.","Task","Sprint Backlog","Critical","backend2.dev@company.com","product.owner@company.com","2024-11-08","4.2","1","backend,database,postgresql","Sprint 1","Establish core infrastructure and implement the complete user authentication lifecycle.","Identity & Access Management","EPIC-001","CreativeFlow AI Platform","US-002","T-IAM-001","PostgreSQL,TypeORM","Low","Low","Migration script successfully creates the `UserToken` table. Foreign key to the `User` table is established. An index is created on the token column for fast lookups.","Code reviewed; Migration applies successfully.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","80%","","","Integration test","","Data foundation for secure, single-use tokens."
"T-IAM-007","[Backend] Implement Verification Token Generation Service","Create a `TokenService` in NestJS to handle the generation of secure, unique, time-limited tokens. The service will persist the token and its metadata to the `UserToken` table.","Task","Sprint Backlog","Critical","backend2.dev@company.com","product.owner@company.com","2024-11-08","8.3","2","backend,nestjs,security","Sprint 1","Establish core infrastructure and implement the complete user authentication lifecycle.","Identity & Access Management","EPIC-001","CreativeFlow AI Platform","US-002","T-IAM-006,T-IAM-002","NestJS,TypeScript,Cryptography","Medium","High","A cryptographically secure random string is generated. A record is created in the `UserToken` table with the correct user ID, token, type, and a 24-hour expiry. The service is integrated into the registration flow.","Code reviewed; Unit tests pass; Security review of token generation passed.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","80%","","","Unit testing","","Core logic for generating secure verification links."
"T-IAM-008","[Backend] Implement Event-Driven Email Dispatch","Modify the registration service to publish a `UserRegistered` event. Create a new Notifications service/module with a listener for this event that calls the email sending logic.","Task","Sprint Backlog","High","backend2.dev@company.com","product.owner@company.com","2024-11-08","6.2","2","backend,nestjs,events","Sprint 1","Establish core infrastructure and implement the complete user authentication lifecycle.","Identity & Access Management","EPIC-001","CreativeFlow AI Platform","US-002","T-IAM-007","NestJS,Event-Driven Architecture","Medium","Low","Registration service publishes an event with user ID and email. Notifications service listener is invoked upon event publication. The process is asynchronous and does not block the registration API response.","Code reviewed; Integration test confirms listener is triggered.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","80%","","","Integration testing","","Decouples registration from email sending for improved resilience."
