"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"ID-T001","Scaffold NestJS Project & Install Dependencies","Use the NestJS CLI (`nest new`) to create the initial monorepo structure for the `identity-service`. Install all core dependencies including `@nestjs/config`, `@nestjs/jwt`, `passport`, `bcrypt`, `class-validator`, etc.","Task","Backlog","Critical","devops.lead@company.com","product.owner@company.com","2024-05-24","2","","backend,setup,nestjs","Sprint 1","Deliver a fully operational, observable, and containerized Identity Service with complete core authentication flows and foundational account lifecycle features.","Service Foundation","EPIC-003","Professional Networking Platform - Identity Service","ENBL-001","","NestJS CLI,npm","Low","Low","The project is successfully created with the NestJS CLI. Running `npm install` completes without errors. The application can be started locally using `npm run start:dev`.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-05-17T09:00:00Z","2024-05-17T09:00:00Z","2024-05-20","2024-05-31","100%","","","Local application start-up.","","Ensures code quality, consistency, and maintainability from the start of the project, reducing future technical debt."
"ID-T002","Configure ESLint, Prettier, and Jest","Configure ESLint and Prettier to enforce a consistent code style (REQ-1-063). Set up Jest for unit and integration testing, including configuring the coverage reporter to enforce the 80% minimum threshold (REQ-1-064). Add npm scripts for `lint`, `format`, and `test:cov`.","Task","Backlog","Critical","devops.lead@company.com","product.owner@company.com","2024-05-24","6","","backend,quality,devops","Sprint 1","Deliver a fully operational, observable, and containerized Identity Service with complete core authentication flows and foundational account lifecycle features.","Service Foundation","EPIC-003","Professional Networking Platform - Identity Service","ENBL-001","ID-T001","ESLint,Prettier,Jest","Low","Low","The `npm run lint` command successfully checks all source files. The `npm run format` command correctly formats code. The `npm run test:cov` command runs tests and generates a coverage report, failing if coverage is below 80%.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-05-17T09:00:00Z","2024-05-17T09:00:00Z","2024-05-20","2024-05-31","100%","","","Running npm scripts locally.","","Ensures code quality, consistency, and maintainability from the start of the project, reducing future technical debt."
"ID-T003","Define User-related TypeORM Entities","Create TypeORM entity classes for `User` and `Role`/`UserRole`. The `User` entity must include fields for email (with a unique, case-insensitive index), passwordHash, and a status enum ('inactive', 'active', 'deactivated', 'banned').","Task","Backlog","Critical","backend.dev2@company.com","product.owner@company.com","2024-05-24","4.2","","backend,database,typeorm","Sprint 1","Deliver a fully operational, observable, and containerized Identity Service with complete core authentication flows and foundational account lifecycle features.","Service Foundation","EPIC-003","Professional Networking Platform - Identity Service","ENBL-006","ID-T001","TypeORM,TypeScript,PostgreSQL","Low","Low","The `user.entity.ts`, `role.entity.ts`, and `user-role.entity.ts` files are created. All columns are correctly typed and decorated. Relations between User and Role are defined.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-05-17T09:00:00Z","2024-05-17T09:00:00Z","2024-05-20","2024-05-31","100%","","","Code review and successful migration generation.","","Provides the foundational data structures required for the entire identity service to function."
"ID-T004","Define Token and Lifecycle TypeORM Entities","Create TypeORM entity classes for `UserToken` (for verification/password reset), `AccountDeletionRequest`, and `UserSecurityAuditLog`. The `UserToken` entity must include fields for type, token hash, expiry, and a foreign key to the User.","Task","Backlog","Critical","backend.dev2@company.com","product.owner@company.com","2024-05-24","6","","backend,database,typeorm","Sprint 1","Deliver a fully operational, observable, and containerized Identity Service with complete core authentication flows and foundational account lifecycle features.","Service Foundation","EPIC-003","Professional Networking Platform - Identity Service","ENBL-006","ID-T003","TypeORM,TypeScript","Low","Low","The `user-token.entity.ts`, `account-deletion-request.entity.ts`, and `user-security-audit-log.entity.ts` files are created. All columns and relations are correctly defined using TypeORM decorators.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-05-17T09:00:00Z","2024-05-17T09:00:00Z","2024-05-20","2024-05-31","100%","","","Code review and successful migration generation.","","Provides the foundational data structures required for the entire identity service to function."
"ID-T005","Generate and Validate Initial Database Migration","Configure TypeORM CLI to connect to the local PostgreSQL database. Run the migration generation command to create the initial SQL migration script based on all defined entities. Review the script for correctness and run it against a local database to confirm the schema is created as expected.","Task","Backlog","Critical","qa.engineer@company.com","product.owner@company.com","2024-05-24","5.2","","backend,database,migration","Sprint 1","Deliver a fully operational, observable, and containerized Identity Service with complete core authentication flows and foundational account lifecycle features.","Service Foundation","EPIC-003","Professional Networking Platform - Identity Service","ENBL-006","ID-T004","TypeORM CLI,SQL","Low","Low","A TypeORM migration file is generated in the `src/migrations` directory. The generated SQL correctly creates all tables, indexes (including unique, case-insensitive for email), and foreign key constraints. Running `npm run migration:run` successfully applies the migration to an empty database.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-05-17T09:00:00Z","2024-05-17T09:00:00Z","2024-05-20","2024-05-31","100%","backend.dev2@company.com","","Successful execution of the migration script against a local database.","","Provides the foundational data structures required for the entire identity service to function."
"ID-T006","Create Multi-stage Dockerfile and .dockerignore","Develop a multi-stage Dockerfile for the service (REQ-1-076). The 'builder' stage will install all dependencies and compile the TypeScript. The final 'production' stage will copy only the compiled `dist` directory and production dependencies from the builder into a minimal `node:18-alpine` base image. Create a `.dockerignore` file.","Task","Backlog","Critical","devops.lead@company.com","product.owner@company.com","2024-05-27","4.2","","backend,devops,docker","Sprint 1","Deliver a fully operational, observable, and containerized Identity Service with complete core authentication flows and foundational account lifecycle features.","Service Foundation","EPIC-003","Professional Networking Platform - Identity Service","ENBL-002","ID-T001","Docker","Low","Low","The `Dockerfile` is created and uses a multi-stage pattern. The `.dockerignore` file excludes `node_modules`, `dist`, and other unnecessary files. The final container is configured to run as a non-root user for security.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-05-17T09:00:00Z","2024-05-17T09:00:00Z","2024-05-20","2024-05-31","100%","","","Code review.","","Enables consistent deployments across all environments, simplifies the deployment process, and improves application portability."
"ID-T007","Test Local Docker Build and Run","Execute `docker build` to create the container image locally. Once built, run the container using `docker run`, passing necessary environment variables. Verify that the NestJS application starts without errors and the health check endpoint is accessible.","Task","Backlog","Critical","qa.engineer@company.com","product.owner@company.com","2024-05-27","3.2","","backend,testing,docker","Sprint 1","Deliver a fully operational, observable, and containerized Identity Service with complete core authentication flows and foundational account lifecycle features.","Service Foundation","EPIC-003","Professional Networking Platform - Identity Service","ENBL-002","ID-T006","Docker CLI","Low","Low","The `docker build` command completes successfully. The `docker run` command starts the container without errors. The application logs inside the container show a successful startup. The `/health` endpoint of the running container is reachable from the host.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-05-17T09:00:00Z","2024-05-17T09:00:00Z","2024-05-20","2024-05-31","100%","devops.lead@company.com","","Successful local container execution.","","Enables consistent deployments across all environments, simplifies the deployment process, and improves application portability."
"ID-T008","Create GitHub Actions Workflow for CI Checks","Create the `.github/workflows/ci-cd.yml` file. Implement jobs for `lint` and `test` that trigger on pull requests. The test job must use the Jest coverage reporter and fail if code coverage is below 80% (REQ-1-064).","Task","Backlog","Critical","devops.lead@company.com","product.owner@company.com","2024-06-05","6.3","","devops,ci-cd,github-actions","Sprint 2","Implement advanced security (MFA), complete the account deletion lifecycle, and fully automate the CI/CD pipeline and infrastructure as code.","Service Foundation","EPIC-003","Professional Networking Platform - Identity Service","ENBL-003","ID-T002","GitHub Actions,YAML","Medium","Low","A pull request triggers the `lint` job, which passes or fails based on ESLint rules. The PR triggers the `test` job, which passes if tests succeed and coverage is >= 80%. The PR is blocked from merging if either job fails.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-05-17T09:00:00Z","2024-05-17T09:00:00Z","2024-06-03","2024-06-14","100%","","","Successful workflow run on a test pull request.","","Automates the software delivery process, improves development velocity, enforces quality and security gates, and provides a reliable path to production."
"ID-T009","Integrate Security Scanning into CI Pipeline","Add jobs to the CI workflow for Static Application Security Testing (SAST) on the source code and Software Composition Analysis (SCA) to detect vulnerabilities in third-party dependencies (REQ-1-078). These jobs must also run on pull requests and fail the workflow if high-severity issues are found.","Task","Backlog","Critical","devops.lead@company.com","product.owner@company.com","2024-06-06","6","","devops,ci-cd,security","Sprint 2","Implement advanced security (MFA), complete the account deletion lifecycle, and fully automate the CI/CD pipeline and infrastructure as code.","Service Foundation","EPIC-003","Professional Networking Platform - Identity Service","ENBL-003","ID-T008","GitHub Actions,Security Scanning Tools","Medium","Medium","The CI workflow includes a SAST scan job (e.g., using CodeQL). The CI workflow includes an SCA scan job (e.g., using `npm audit` or Snyk). The workflow fails and blocks a PR if a high-severity vulnerability is detected in either scan.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-05-17T09:00:00Z","2024-05-17T09:00:00Z","2024-06-03","2024-06-14","100%","","","Workflow run logs showing successful execution of scan jobs.","","Automates the software delivery process, improves development velocity, enforces quality and security gates, and provides a reliable path to production."
"ID-T010","Implement CD Pipeline for Build, Push, and Deploy","Extend the workflow to run on merge to `main`. Add jobs to: 1) Build the Docker image. 2) Scan the built image for vulnerabilities. 3) Push the image to AWS ECR. 4) Deploy to the staging EKS cluster. Use GitHub's OIDC provider for secure authentication to AWS.","Task","Backlog","Critical","devops.lead@company.com","product.owner@company.com","2024-06-07","12","","devops,cd,aws,kubernetes","Sprint 2","Implement advanced security (MFA), complete the account deletion lifecycle, and fully automate the CI/CD pipeline and infrastructure as code.","Service Foundation","EPIC-003","Professional Networking Platform - Identity Service","ENBL-003","ID-T007,ID-T009","GitHub Actions,Docker,AWS ECR,Kubernetes,AWS IAM","High","High","On merge to `main`, the workflow is triggered. A new Docker image is successfully built and pushed to ECR with a unique tag. The image is scanned, and the workflow fails if vulnerabilities are found. The Kubernetes deployment in the staging EKS cluster is updated to use the new image.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-05-17T09:00:00Z","2024-05-17T09:00:00Z","2024-06-03","2024-06-14","100%","","AWS ECR and EKS must be provisioned.","Successful deployment to staging environment and verification of the running service.","Requires secure configuration of AWS OIDC and IAM roles.","Automates the software delivery process, improves development velocity, enforces quality and security gates, and provides a reliable path to production."
