"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-IA-101.1","Scaffold NestJS Project and Configure Global Pipes/Filters","Use the NestJS CLI to generate the project structure. Create placeholder modules for Auth, Users, and Config. Implement a global ValidationPipe and a custom exception filter for standardized error responses.","Task","Sprint Backlog","Critical","backend.dev1@company.com","tech.lead@company.com","2024-11-04","4","2","backend,nestjs,setup","Sprint 1","Establish project foundation, CI/CD, and core user registration.","Core Project Setup & DevOps","EPIC-001","Identity & Access Management Service","US-101","","NestJS,TypeScript","Low","Low","Project is generated and runs via `npm run start:dev`. A `/health` endpoint returns a 200 OK status. Global `ValidationPipe` is registered. A global exception filter is in place.","Code reviewed; Unit tests passing; Deployed to dev environment.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Unit testing of health endpoint and filters.","Initial commit to the new repository.","Enables all subsequent feature development."
"TASK-IA-102.1","Implement Database (TypeORM) and Cache (Redis) Configuration","Integrate `@nestjs/typeorm` and a Redis module. Load all connection credentials from environment variables using `@nestjs/config`. Define initial `User` and `UserToken` TypeORM entities.","Task","Sprint Backlog","Critical","backend.dev1@company.com","tech.lead@company.com","2024-11-05","6.3","3","backend,database,redis,typeorm","Sprint 1","Establish project foundation, CI/CD, and core user registration.","Core Project Setup & DevOps","EPIC-001","Identity & Access Management Service","US-101","TASK-IA-101.1","NestJS,TypeORM,Redis,PostgreSQL","Medium","Low","Application configuration correctly loads DB and Redis connection strings from `.env` file. Application successfully establishes connections to PostgreSQL and Redis upon startup.","Code reviewed; Integration tests for connectivity passing.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","DevOps for environment variable standards.","PostgreSQL and Redis instances must be available.","Integration test for successful DB and Cache connections.","Requires environment variables to be set in deployment pipeline.","Provides data persistence and caching layers for the application."
"TASK-IA-102.2","Create Initial Database Migration Script","Using TypeORM's migration tools, generate and refine the initial SQL migration script to create the `users` and `user_tokens` tables based on the defined entities.","Task","Sprint Backlog","Critical","backend.dev1@company.com","tech.lead@company.com","2024-11-06","3.3","2","database,typeorm,migration","Sprint 1","Establish project foundation, CI/CD, and core user registration.","Core Project Setup & DevOps","EPIC-001","Identity & Access Management Service","US-101","TASK-IA-102.1","TypeORM,SQL,PostgreSQL","Low","Low","A migration file is generated. Running `typeorm migration:run` successfully creates the tables. The table schemas match the entity definitions.","Migration script is peer-reviewed and tested against a clean database.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Manual or automated execution of the migration script.","Migration must be run as part of the CD pipeline.","Creates the foundational data schema for user management."
"TASK-IA-103.1","Create Multi-Stage Dockerfile for Production","Develop a `Dockerfile` that uses a `builder` stage to install all dependencies and compile the TypeScript code. The final stage should copy from the builder only the `dist` folder, `node_modules`, and `package.json` into a slim Node.js production image.","Task","Sprint Backlog","Critical","devops.eng@company.com","tech.lead@company.com","2024-11-07","4","2","devops,docker","Sprint 1","Establish project foundation, CI/CD, and core user registration.","Core Project Setup & DevOps","EPIC-001","Identity & Access Management Service","US-102","TASK-IA-101.1","Docker","Low","Low","The `docker build` command completes successfully. The final image size is under 200MB. The image runs successfully and the application starts.","Dockerfile is reviewed and tested locally.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","Backend team to confirm build steps.","","Local build and run of the Docker image.","This Dockerfile will be used in the CI/CD pipeline.","Creates a standardized, portable artifact for deployment."
"TASK-IA-103.2","Create Docker Compose for Local Development","Develop a `docker-compose.yml` file defining three services: `app`, `db` (PostgreSQL), and `cache` (Redis). The `app` service should mount the local source code for live reloading.","Task","Sprint Backlog","Critical","devops.eng@company.com","tech.lead@company.com","2024-11-08","6","3","devops,docker,docker-compose","Sprint 1","Establish project foundation, CI/CD, and core user registration.","Core Project Setup & DevOps","EPIC-001","Identity & Access Management Service","US-102","TASK-IA-103.1","Docker,Docker Compose,YAML","Medium","Low","`docker-compose up` starts all services without errors. The application container can connect to the database and cache containers. Changes made to local source code are reflected.","The local development environment can be started with a single command.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","Backend team to validate the developer experience.","","Each developer on the team must successfully run the local environment.","","Ensures a consistent and reproducible development environment for all team members."
"TASK-IA-104.1","Setup CI Workflow for Build, Lint, and Test","Create the initial GitHub Actions workflow file (`ci.yml`). Define a job that checks out code, sets up Node.js, installs dependencies, and runs the `lint` and `test` scripts. The workflow should trigger on `pull_request` events.","Task","Sprint Backlog","Critical","devops.eng@company.com","tech.lead@company.com","2024-11-11","6.3","3","devops,ci-cd,github-actions","Sprint 1","Establish project foundation, CI/CD, and core user registration.","Core Project Setup & DevOps","EPIC-001","Identity & Access Management Service","US-103","","GitHub Actions,YAML","Medium","Low","A pull request automatically triggers the workflow. The workflow succeeds if linting and tests pass. The workflow fails if either linting or tests fail, and blocks the PR from being merged.","A test PR successfully triggers and passes the CI workflow.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","Backend team to provide test and lint scripts.","","Creating a test PR with both passing and failing code.","","Automates the initial quality gates for all code changes."
"TASK-REG-201.1","Implement Password Hashing Service","Create a dedicated `PasswordService` to encapsulate `bcrypt` logic. It must include `hash(password)` and `compare(password, hash)` methods.","Task","Sprint Backlog","Critical","backend.dev2@company.com","tech.lead@company.com","2024-11-06","3.2","2","backend,security,authentication","Sprint 1","Establish project foundation, CI/CD, and core user registration.","User Registration and Verification","EPIC-002","Identity & Access Management Service","US-001","","TypeScript,bcrypt,NestJS","Low","Medium","The `hash` method returns a valid bcrypt hash string. The `compare` method returns `true` for correct password/hash pairs and `false` for incorrect ones.","Code reviewed, 100% unit test coverage achieved.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","Security champion for review.","","Unit testing of hash and compare methods.","","Provides the core secure password handling mechanism."
"TASK-REG-201.2","Write Unit Tests for Password Hashing Service","Create a Jest test suite for `PasswordService` with 100% code coverage. Tests must cover both the `hash` and `compare` methods, including happy paths and failure cases.","Task","Sprint Backlog","Critical","backend.dev2@company.com","tech.lead@company.com","2024-11-07","4","2","backend,testing,qa","Sprint 1","Establish project foundation, CI/CD, and core user registration.","User Registration and Verification","EPIC-002","Identity & Access Management Service","US-001","TASK-REG-201.1","Jest,TypeScript","Low","Low","Test suite achieves 100% statement and branch coverage for `password.service.ts`. Tests are passing in both local and CI environments.","Tests are reviewed and pass in the CI pipeline.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Execution in CI environment.","","Ensures the reliability and correctness of the password hashing logic."
"TASK-REG-202.1","Create User Registration DTO and Service Method","Create the `RegisterUserDto` with `class-validator` decorators for email, password complexity (regex), and age. Implement the `AuthService.register` method that takes this DTO, checks for email uniqueness, hashes the password, and creates a new User entity with 'inactive' status.","Task","Sprint Backlog","Critical","backend.dev2@company.com","tech.lead@company.com","2024-11-12","6","3","backend,authentication,registration","Sprint 1","Establish project foundation, CI/CD, and core user registration.","User Registration and Verification","EPIC-002","Identity & Access Management Service","US-001","TASK-IA-102.1,TASK-REG-201.1","NestJS,TypeORM,class-validator","Medium","Medium","The `RegisterUserDto` correctly validates input. The `register` method checks for duplicate emails and throws a `ConflictException`. The method calls `PasswordService.hash` and creates a `User` entity.","Code reviewed; Unit and integration tests passing.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Integration test covering success and failure cases (duplicate email, weak password).","","Implements the core logic for acquiring new users."
"TASK-REG-202.2","Write Integration Tests for Registration Endpoint","Create a Jest integration test suite for the registration endpoint. The suite must cover: successful registration, attempting to register with a duplicate email, and attempting to register with a password that fails complexity rules.","Task","Sprint Backlog","Critical","qa.engineer@company.com","tech.lead@company.com","2024-11-14","7.2","3","testing,qa,api","Sprint 1","Establish project foundation, CI/CD, and core user registration.","User Registration and Verification","EPIC-002","Identity & Access Management Service","US-001","TASK-REG-202.1","Jest,NestJS,Supertest,TypeORM","Medium","Low","Test for successful registration asserts a 201 status and checks the database for the new user. Test for duplicate email asserts a 409 status. Test for invalid password asserts a 400 status.","All test cases implemented and passing in the CI pipeline.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","Backend developer to clarify endpoint behavior.","","Requires a test database environment.","","Validates the correctness and security of the user registration flow."
"TASK-REG-203.1","Implement Token Service for Verification Tokens","Create a `TokenService` responsible for generating and validating verification tokens. Implement a method `generateVerificationToken(userId)` that creates a secure random string, associates it with the user, sets a 24-hour expiry, and saves it to the `user_tokens` table.","Task","Sprint Backlog","Critical","backend.dev1@company.com","tech.lead@company.com","2024-11-19","6.3","3","backend,security,token","Sprint 2","Complete user activation flow and implement secure login/logout system.","User Registration and Verification","EPIC-002","Identity & Access Management Service","US-002","TASK-IA-102.1","NestJS,TypeORM,Node.js crypto","Medium","High","The service generates a unique, unguessable token. A record is created in `user_tokens` with the correct userId, token, type, and expiry. The service includes a method to find and validate a token.","Code reviewed for security; 100% unit test coverage.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-18","2024-11-29","100%","","","Unit and integration tests for token generation and validation.","","Provides a secure mechanism for email verification and password resets."
"TASK-REG-204.1","Integrate Token Generation and Event Publishing into Registration Flow","Modify the `AuthService.register` method. After successfully creating the user, it must call the `TokenService` to generate a verification token. Then, it must publish a `UserRegistered` event to the event bus containing the `userId`, `email`, and the plaintext `token`.","Task","Sprint Backlog","Critical","backend.dev1@company.com","tech.lead@company.com","2024-11-20","3","2","backend,events,registration","Sprint 2","Complete user activation flow and implement secure login/logout system.","User Registration and Verification","EPIC-002","Identity & Access Management Service","US-002","TASK-REG-202.1,TASK-REG-203.1","NestJS,TypeORM,Event-driven architecture","Medium","Medium","The registration transaction now includes creating a user and a token. A `UserRegistered` event is published upon successful completion of the transaction. If token creation fails, the entire transaction is rolled back.","Code reviewed; Integration test passing.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-18","2024-11-29","100%","","Event bus must be available.","Integration test verifying DB records and event publication.","","Connects the registration process to the notification system."
"TASK-REG-204.2","Implement Email Verification Endpoint","Create a new public endpoint (e.g., GraphQL mutation `verifyEmail(token)`) that accepts a verification token. The handler will use the `TokenService` to validate the token. If valid, it updates the user's status to 'active' and deletes the token.","Task","Sprint Backlog","Critical","backend.dev2@company.com","tech.lead@company.com","2024-11-21","6.2","3","backend,api,verification","Sprint 2","Complete user activation flow and implement secure login/logout system.","User Registration and Verification","EPIC-002","Identity & Access Management Service","US-003","TASK-REG-203.1","NestJS,TypeORM","Medium","Low","The endpoint is publicly accessible. It correctly calls `TokenService.validate`. On successful validation, it updates the `User` status to 'active' and deletes the used token. The entire operation is transactional.","Code reviewed; Integration tests passing for all scenarios.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-18","2024-11-29","100%","","","Integration tests for valid, invalid, expired, and reused tokens.","","Enables users to activate their accounts, completing the onboarding loop."
"TASK-AUTH-301.1","Implement Login Service Logic","Create the `AuthService.login` method. It should find the user by email, use `PasswordService.compare` to validate the password, and check that the user's status is 'active'.","Task","Sprint Backlog","Critical","backend.dev1@company.com","tech.lead@company.com","2024-11-22","5","2","backend,authentication,login","Sprint 2","Complete user activation flow and implement secure login/logout system.","User Authentication & Session Management","EPIC-003","Identity & Access Management Service","US-006","TASK-REG-201.1,TASK-REG-204.2","NestJS,TypeORM","Medium","Low","Method returns the user object on successful authentication. Method throws `UnauthorizedException` for incorrect credentials. Method throws `ForbiddenException` for an inactive user.","Code reviewed; Unit tests passing.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-18","2024-11-29","100%","","","Unit tests covering success and failure cases.","","Implements the core logic for authenticating existing users."
"TASK-AUTH-301.2","Implement JWT Generation and Login Endpoint","Integrate `@nestjs/jwt`. Update the login method to call `JwtService.sign` to generate access (15m expiry) and refresh (7d expiry) tokens upon successful authentication. Expose this via a `login` endpoint.","Task","Sprint Backlog","Critical","backend.dev1@company.com","tech.lead@company.com","2024-11-25","6","3","backend,security,jwt","Sprint 2","Complete user activation flow and implement secure login/logout system.","User Authentication & Session Management","EPIC-003","Identity & Access Management Service","US-006","TASK-AUTH-301.1","NestJS,JWT","Medium","High","Successful login returns an `accessToken` and `refreshToken`. The JWT payload contains `sub` (userId) and a unique `jti`. JWTs have the correct expiry times.","Code reviewed for security; Integration tests passing.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-18","2024-11-29","100%","","","Integration tests to verify token structure and content.","Requires JWT secret to be configured in production.","Establishes secure, stateful sessions for users."
"TASK-AUTH-302.1","Implement JWT Passport Strategy","Using `@nestjs/passport` and `passport-jwt`, create a `JwtStrategy` that validates the signature and expiry of JWTs extracted from the `Authorization` header.","Task","Sprint Backlog","Critical","backend.dev2@company.com","tech.lead@company.com","2024-11-26","6","3","backend,security,jwt,passport","Sprint 2","Complete user activation flow and implement secure login/logout system.","User Authentication & Session Management","EPIC-003","Identity & Access Management Service","US-104","TASK-AUTH-301.2","NestJS,Passport.js,JWT","Medium","Medium","The strategy correctly extracts the token from the header. It validates the token using the configured secret. It returns the user payload for valid tokens.","Code reviewed; Unit tests passing.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-18","2024-11-29","100%","","","Unit tests for the strategy's validation logic.","","Provides the core validation logic for all protected API endpoints."
"TASK-AUTH-303.1","Implement Redis Service for Token Blocklist","Create a generic `RedisService` or a specific `BlocklistService` that abstracts Redis commands. Implement `addToBlocklist(jti, expiryInSeconds)` and `isBlocklisted(jti)` methods.","Task","Sprint Backlog","Critical","backend.dev1@company.com","tech.lead@company.com","2024-11-27","6","3","backend,redis,security","Sprint 2","Complete user activation flow and implement secure login/logout system.","User Authentication & Session Management","EPIC-003","Identity & Access Management Service","US-007","TASK-IA-102.1","NestJS,Redis,TypeScript","Medium","High","The service can successfully set a key in Redis with a TTL. The service can check for the existence of a key. The service is covered by unit tests.","Code reviewed; Unit and integration tests passing.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-18","2024-11-29","100%","","Redis instance must be available.","Integration test against a live Redis instance.","","Enables immediate, server-side session invalidation."
"TASK-PWD-401.1","Implement 'Forgot Password' Endpoint Logic","Create the `/auth/forgot-password` endpoint. The service method will find the user by email, invalidate any previous reset tokens, call `TokenService` to create a new password reset token, and publish a `PasswordResetRequested` event.","Task","Sprint Backlog","Critical","backend.dev1@company.com","tech.lead@company.com","2024-12-04","6.3","3","backend,authentication,password-reset","Sprint 3","Implement password recovery, session refresh, and security audit logging.","Account Recovery (Password Reset)","EPIC-004","Identity & Access Management Service","US-010","TASK-REG-203.1","NestJS,TypeORM","Medium","Medium","Endpoint identifies existing user. New token is generated. Event is published with email and token. Endpoint returns generic 200/OK response regardless of email existence.","Code reviewed; Integration tests passing.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-12-02","2024-12-13","100%","","","Integration test for valid user and invalid user, asserting event publication.","","Initiates the self-service account recovery process."
