"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"IAM-001-T01","DB: Define and Migrate User Schema","Define the `User` entity including fields for email, passwordHash, and status. Create a migration script with a unique, case-insensitive index on the email column.","Task","Sprint Backlog","Critical","backend.dev2@company.com","product.owner@company.com","2024-01-10","6.3","1","backend,database,schema,iam","Sprint 1","Establish foundational user registration and secure login flows.","Identity & Access Management (IAM) Microservice","EPIC-001","Professional Networking Platform","US-001","","PostgreSQL,TypeORM/Prisma,SQL","Low","Low","Migration script successfully applies the `users` table schema; Email column has a `UNIQUE` constraint; A case-insensitive index is created on the email column.","Code reviewed; Migration script tested on local DB; Merged to main.","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-08","2024-01-19","10%","None","","Migration testing.","Migration must run before application deployment.","Foundation for user data storage."
"IAM-001-T02","BE: Implement Registration DTO and Validation","Create the `RegisterUserDto.ts` file with `class-validator` decorators to enforce password complexity rules from REQ-1-001 and email format validation.","Task","Sprint Backlog","Critical","backend.dev2@company.com","product.owner@company.com","2024-01-11","4.2","1","backend,nestjs,dto,validation,iam","Sprint 1","Establish foundational user registration and secure login flows.","Identity & Access Management (IAM) Microservice","EPIC-001","Professional Networking Platform","US-001","","NestJS,TypeScript,class-validator","Low","Low","DTO correctly reflects the registration payload; Decorators for all password complexity rules and email validation are implemented; Unit tests pass for valid and invalid inputs.","Code reviewed; Unit tests passing with >80% coverage.","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-08","2024-01-19","7%","None","","Unit testing.","Part of the IAM service deployment.","Defines the API contract for user registration."
"IAM-001-T03","BE: Implement `registerUser` GraphQL Mutation and Service","Implement the `registerUser` mutation and service method to check email uniqueness, hash the password with bcrypt, and save the new user with 'inactive' status.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-01-15","8.7","2","backend,graphql,security,iam,bcrypt","Sprint 1","Establish foundational user registration and secure login flows.","Identity & Access Management (IAM) Microservice","EPIC-001","Professional Networking Platform","US-001","IAM-001-T01,IAM-001-T02","NestJS,GraphQL,TypeORM/Prisma,bcrypt","Medium","High","Mutation correctly processes valid data; Password is correctly hashed; Duplicate email errors are handled; New user is created with 'inactive' status.","Code reviewed by a senior engineer; Unit tests passing.","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-08","2024-01-19","14%","None","","Unit and Integration testing.","Core part of the IAM service deployment.","Enables the creation of new user accounts."
"IAM-001-T04","QA: Write Unit & E2E Tests for Registration","Develop unit tests for `AuthService` registration logic and E2E tests for the GraphQL endpoint covering happy path, validation errors, and conflict errors.","Task","Sprint Backlog","High","qa.engineer@company.com","product.owner@company.com","2024-01-17","8.3","2","qa,testing,e2e,jest,iam","Sprint 1","Establish foundational user registration and secure login flows.","Identity & Access Management (IAM) Microservice","EPIC-001","Professional Networking Platform","US-001","IAM-001-T03","Jest,Supertest,NestJS Testing","Medium","Low","Unit test coverage for registration logic >80%; E2E tests cover 201, 409, and 400 status codes for the registration endpoint.","All tests are passing in the CI pipeline; Test cases reviewed and approved.","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-08","2024-01-19","13%","Backend team for endpoint details.","","All tests must be automated.","Part of the CI validation pipeline.","Ensures the reliability and correctness of the user registration feature."
"IAM-003-T01","BE: Configure `@nestjs/jwt` Module","Configure and import the `JwtModule` in the `AuthModule`. Set up secret key and expiry times (15 min access, 7 days refresh) from environment variables.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-01-10","3.2","1","backend,nestjs,jwt,security,iam","Sprint 1","Establish foundational user registration and secure login flows.","Identity & Access Management (IAM) Microservice","EPIC-001","Professional Networking Platform","US-006","","NestJS,JWT,TypeScript","Low","Medium","`JwtModule` is correctly configured; Secret keys and expiry times are loaded from environment configuration; Configuration is testable.","Code reviewed; Module loads correctly in unit tests.","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-08","2024-01-19","5%","None","","Unit testing.","Requires environment variables to be set in deployment environment.","Foundation for secure session management."
"IAM-003-T02","BE: Implement `login` GraphQL Mutation and Service Logic","Create the `login` mutation and service logic to find user, check status is 'active', compare password with bcrypt, and handle failures with appropriate exceptions.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-01-16","8.3","2","backend,graphql,security,iam,bcrypt","Sprint 1","Establish foundational user registration and secure login flows.","Identity & Access Management (IAM) Microservice","EPIC-001","Professional Networking Platform","US-006","IAM-001-T01","NestJS,GraphQL,bcrypt","Medium","High","Service validates user status; bcrypt.compare is used; Generic `UnauthorizedException` is thrown for failures to prevent enumeration; Specific exception for unverified accounts.","Code reviewed by a senior engineer; Unit tests passing.","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-08","2024-01-19","13%","None","","Unit and Integration testing.","Core part of the IAM service deployment.","Enables authenticated access to the platform."
"IAM-003-T03","BE: Implement Access and Refresh Token Generation","In `AuthService`, create a method to generate signed JWT access (15min) and refresh (7day) tokens. Access token payload must include `sub` and `jti`.","Task","Sprint Backlog","Critical","backend.dev2@company.com","product.owner@company.com","2024-01-17","6","1","backend,nestjs,jwt,security,iam","Sprint 1","Establish foundational user registration and secure login flows.","Identity & Access Management (IAM) Microservice","EPIC-001","Professional Networking Platform","US-006","IAM-003-T01","NestJS,JWT,TypeScript","Medium","Medium","Access token has 15-min expiry; Refresh token has 7-day expiry; Tokens are signed correctly; Access token payload contains a unique `jti`.","Code reviewed; Unit tests verify token structure and expiry.","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-08","2024-01-19","10%","None","","Unit testing.","Part of the IAM service deployment.","Enables session management for logged-in users."
"IAM-003-T04","QA: Write Unit & E2E Tests for Login Flow","Create E2E tests for the `login` mutation covering successful login, incorrect password, non-existent user, and unverified user scenarios.","Task","Sprint Backlog","High","qa.engineer@company.com","product.owner@company.com","2024-01-19","8.3","2","qa,testing,e2e,jest,iam","Sprint 1","Establish foundational user registration and secure login flows.","Identity & Access Management (IAM) Microservice","EPIC-001","Professional Networking Platform","US-006","IAM-003-T02,IAM-003-T03","Jest,Supertest,NestJS Testing","Medium","Low","Unit test coverage for login logic >80%; E2E tests cover success and all specified failure conditions with correct status codes.","All tests are passing in the CI pipeline.","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-08","2024-01-19","13%","Backend team.","","All tests must be automated.","Part of the CI validation pipeline.","Ensures the reliability and security of the user login feature."
"IAM-002-T01","DB: Define and Migrate VerificationToken Schema","Define the `VerificationToken` entity with fields for token, userId (FK), and `expiresAt`. Create and apply the database migration.","Task","Sprint Backlog","Critical","backend.dev2@company.com","product.owner@company.com","2024-01-23","4.2","1","backend,database,schema,iam","Sprint 2","Complete the account activation loop and implement secure session termination.","Identity & Access Management (IAM) Microservice","EPIC-001","Professional Networking Platform","US-002","IAM-001-T01","PostgreSQL,TypeORM/Prisma","Low","Low","Migration script creates `verification_tokens` table with correct FK and unique index on token.","Migration runs successfully.","2024-01-22T09:00:00Z","2024-01-22T09:00:00Z","2024-01-22","2024-02-02","7%","None","","Migration testing.","Migration must run before application deployment.","Data model for email verification tokens."
"IAM-002-T02","BE: Implement Verification Token Generation Service","Create a `VerificationTokenService` to generate a secure random string, save it to the DB with a 24-hour expiry, associated with a user ID.","Task","Sprint Backlog","Critical","backend.dev2@company.com","product.owner@company.com","2024-01-25","8.3","2","backend,nestjs,security,iam","Sprint 2","Complete the account activation loop and implement secure session termination.","Identity & Access Management (IAM) Microservice","EPIC-001","Professional Networking Platform","US-002","IAM-002-T01","NestJS,TypeScript,Node.js crypto","Medium","High","Generated token is unique and unguessable; Token is stored correctly with user ID and 24h expiry.","Code reviewed; Unit tests pass.","2024-01-22T09:00:00Z","2024-01-22T09:00:00Z","2024-01-22","2024-02-02","13%","None","","Unit testing.","Part of IAM service.","Core logic for generating secure verification tokens."
